"Periodo","MontoTotal","MontoM","MontoH","NumeroTotal","NumeroM","NumeroH"
2019-09-01,15416668.635,7044524.8212469,8372143.813753,1085140,596161.73809029,488978.2619097
2019-10-01,15478234.3195,7032947.9976648,8445286.3218351,1072049,589734.7367684,482314.26323159
2019-11-01,15998954.8962,7312417.5714614,8686537.3247385,1073957,594080.06506668,479876.93493331
2019-12-01,15878627.0874,7335051.7925892,8543575.2948107,1068224,592134.65704828,476089.34295171
2020-01-01,15973743.5401,7402279.2470715,8571464.2930284,1071848,595768.57227958,476079.42772041
2020-02-01,15892324.3121,7402355.6418216,8489968.6702783,1073448,596452.28136768,476995.71863231
2020-03-01,16188330.807,7557661.9603315,8630668.8466684,1091363,605474.12599513,485888.87400486
2020-04-01,15754508.7933,7419419.5592131,8335089.2340868,1096027,611954.11124195,484072.88875804
2020-05-01,15791364.6896,7433408.6887779,8357956.000822,1116415,623943.44456722,492471.55543277
2020-06-01,15835208.1975,7470522.3745962,8364685.8229037,1129739,633771.91025723,495967.08974276
2020-07-01,15912374.8545,7522180.926086,8390193.9284139,1141703,642588.80447437,499114.19552562
2020-08-01,15880494.7294,7561459.8601981,8319034.8692018,1175787,666154.11184134,509632.88815865
2020-09-01,15855079.3946,7557949.9175472,8297129.4770527,1182556,672219.65549803,510336.34450196
2020-10-01,15841956.0124,7576913.3381172,8265042.6742827,1179009,671433.77539159,507575.2246084
2020-11-01,15421431.125,7400339.2796217,8021091.8453782,1159024,661417.18702584,497606.81297415
2020-12-01,15061753.135499,7268056.337615,7793696.7978849,1149960,658031.11043446,491928.88956553
2021-01-01,15037016.8118,7268206.7869965,7768810.0248034,1154463,661917.54445482,492545.45554517
2021-02-01,14861819.2367,7196974.489461,7664844.7472389,1141584,656586.6813478,484997.31865219
2021-03-01,15007903.1863,7292392.2083165,7715510.9779834,1147575,660912.65239715,486662.34760284
2021-04-01,15141863.2107,7376472.7380562,7765390.4726437,1158965,667950.11697998,491014.88302001
2021-05-01,15500217.9068,7537454.0065438,7962763.9002561,1212880,698390.63513326,514489.36486673
2021-06-01,15801900.8508,7679950.5634438,8121950.2873561,1232144,710439.16810881,521704.83189118
2021-07-01,16280042.7024,7896413.6713563,8383629.0310436,1252465,722697.9723697,529767.02763029
2021-08-01,16589558.5407,8048066.9876177,8541491.5530822,1264037,730029.65679223,534007.34320776
2021-09-01,17197330.722599,8312763.593858,8884567.1287419,1289316,743176.69915107,546139.30084892
2021-10-01,18086573.27,8658165.4690081,9428407.8009918,1324397,759395.73608782,565001.26391217
2021-11-01,18433225.2849,8810892.4775575,9622332.8073424,1334507,763414.9023097,571092.09769029
2021-12-01,19090675.414899,9065158.4337484,10025516.981151,1352280,770573.87186406,581706.12813593
2022-01-01,19711047.5472,9329905.8754976,10381141.671702,1382176,783634.45594688,598541.54405311
2022-02-01,20646593.971699,9668599.3389982,10977994.632701,1432895,805150.67624834,627744.32375165
2022-03-01,21759816.3723,10072829.806402,11686986.565897,1498920,834560.32851545,664359.67148454
2022-04-01,22725465.1291,10452173.556392,12273291.572707,1563686,863761.15615693,699924.84384306
2022-05-01,23959235.722099,10912753.332252,13046482.389847,1655917,905286.85712715,750630.14287284
2022-06-01,25116690.3068,11390047.102252,13726643.204547,1712525,931517.59198845,781007.40801154
2022-07-01,26085112.581699,11788880.664556,14296231.917143,1801517,973097.87390263,828419.12609736
2022-08-01,28856238.904,14291484.222192,14564754.681807,1835819,992124.84728246,843694.15271753
2022-09-01,27708279.8707,12507585.975717,15200693.894982,1911469,1028691.8742418,882777.12575819
2022-10-01,28858225.0283,12966554.359646,15891670.668653,1996729,1067116.8990788,929612.10092114
2022-11-01,29417701.1091,13200288.826982,16217412.282117,2041817,1087616.8953737,954200.10462628
2022-12-01,29967210.9281,13422059.512505,16545151.415594,2072392,1102327.9751328,970064.02486719
2023-01-01,30743040.900799,13709443.352637,17033597.548162,2147258,1139145.2625685,1008112.7374314
2023-02-01,31455450.8237,13991734.956138,17463715.867561,2202172,1166963.1625202,1035208.8374797
2023-03-01,32639935.631899,14615094.739831,18024840.892068,2282881,1206978.6465549,1075902.353445
2023-04-01,33357455.5168,14921699.453515,18435756.063284,2358220,1244591.8972912,1113628.1027087
2023-05-01,34215812.146,15275922.211816,18939889.934183,2438149,1284873.9730659,1153275.026934
2023-06-01,34640758.4868,15367841.009363,19272917.477436,2481055,1308098.2284529,1172956.771547
2023-07-01,34916335.0993,15459766.118971,19456568.980328,2529563,1334869.0667293,1194693.9332706
2023-08-01,34626555.9226,15437991.997918,19188563.924681,2507315,1329728.2284036,1177586.7715963
2023-09-01,34752402.3869,15470935.646183,19281466.740716,2509400,1335428.9332153,1173971.0667846
2023-10-01,34535066.1105,15459119.692076,19075946.418423,2495234,1331276.8665773,1163957.1334226
2023-11-01,34531764.8197,15483157.318405,19048607.501294,2484421,1326876.5062251,1157544.4937748
2023-12-01,34421862.878,15478544.026621,18943318.851378,2461875,1316361.3431717,1145513.6568282
2024-01-01,34713896.7433,15282687.535099,19431209.2082,2471461,1290330.9717288,1181130.0282711
