"Periodo","Poblacion","FuerzaTotal","Ocupados","Desocupados","Cesantes","PrimeraVez","Inactivos"
2017-08-01,14743.176000466,9209.661858396,8573.4957466111,636.16611178487,573.35933115087,62.806780633993,5533.5141420707
2017-09-01,14770.248000395,9260.9214711553,8613.0925112447,647.82895991058,588.63795348618,59.191006424401,5509.3265292403
2017-10-01,14797.38900516,9270.1988562561,8622.7035182505,647.49533800561,585.06203612287,62.433301882736,5527.1901489042
2017-11-01,14824.509018473,9338.7432141012,8712.6814593763,626.06175472483,566.85769342709,59.20406129774,5485.7658043725
2017-12-01,14851.798030734,9379.5226392476,8768.6668567167,610.85578253089,535.5329183887,75.322864142184,5472.2753914872
2018-01-01,14878.816005354,9438.1152902459,8793.9226351636,644.19265508232,549.21339636446,94.979258717854,5440.7007151076
2018-02-01,14905.915003151,9449.494321481,8787.0797412729,662.41458020822,559.5508784894,102.86370171881,5456.4206816705
2018-03-01,14933.086002832,9456.6084761079,8759.0807527202,697.52772338767,605.64887779546,91.878845592214,5476.4775267246
2018-04-01,14960.269004918,9441.3954861696,8781.0837399422,660.31174622747,585.18662015422,75.125126073246,5518.8735187484
2018-05-01,14987.447000935,9465.3294492991,8766.6512204168,698.67822888225,630.7058016386,67.972427243657,5522.1175516364
2018-06-01,15014.649000457,9466.8616971307,8755.5487377646,711.31295936623,636.21419101888,75.098768347344,5547.7873033265
2018-07-01,15041.679000057,9450.9653070883,8708.7376725227,742.22763456565,670.50805844248,71.71957612317,5590.713692969
2018-08-01,15069.360000241,9435.5295859911,8707.194347841,728.33523815004,651.84617797977,76.48906017027,5633.8304142499
2018-09-01,15097.475000202,9414.1738575884,8710.9077206957,703.26613689272,630.74536142439,72.520775468329,5683.3011426138
2018-10-01,15125.725000117,9476.2038770948,8773.8364747126,702.36740238226,627.85882253502,74.508579847241,5649.5211230224
2018-11-01,15153.83400054,9525.40593026,8828.9913576049,696.41457265513,604.18501015476,92.229562500369,5628.4280702798
2018-12-01,15182.093001168,9600.3327160303,8914.2484603238,686.08425570636,588.58514022357,97.499115482788,5581.7602851382
2019-01-01,15209.999007804,9613.3417408511,8927.9516032599,685.39013759116,578.8502560012,106.53988158995,5596.6572669536
2019-02-01,15238.23000294,9581.6364295124,8907.6374949622,673.99893455016,587.81880954477,86.180125005386,5656.5935734282
2019-03-01,15266.347000687,9571.7483956725,8879.1099535837,692.63844208885,607.57421408138,85.064228007461,5694.5986050153
2019-04-01,15294.556000129,9597.0564163644,8916.0168798452,681.03953651924,598.0509466399,82.988589879336,5697.4995837655
2019-05-01,15322.644000055,9621.0996237267,8925.2747406217,695.82488310499,609.12539797036,86.699485134627,5701.5443763291
2019-06-01,15350.992000052,9620.4577343928,8922.6077561606,697.84997823224,608.64478761073,89.205190621509,5730.5342656597
2019-07-01,15378.955000002,9638.1038994576,8910.5580292024,727.54587025522,626.86251559315,100.68335466207,5740.8511005444
2019-08-01,15406.713000001,9659.4437055937,8928.0491756761,731.39452991774,638.42104511287,92.97348480487,5747.2692944075
2019-09-01,15433.915,9712.7438515881,9000.0909553453,712.65289624282,625.3481769497,87.30471929312,5721.1711484125
2019-10-01,15461.363,9686.0489119515,8994.3604287832,691.68848316821,613.82483331795,77.863649850261,5775.314088049
2019-11-01,15488.454,9722.0473316309,9045.3628648712,676.68446675982,589.00223306428,87.682233695537,5766.4066683693
2019-12-01,15515.853,9777.7515058871,9087.1323840464,690.61912184077,594.45962579997,96.159496040807,5738.1014941135
2020-01-01,15543.054,9848.6860637033,9115.641039495,733.04502420832,634.88307938597,98.161944822345,5694.3679362966
2020-02-01,15570.352,9831.2450270214,9063.3737370672,767.87128995417,666.71378420648,101.15750574769,5739.1069729787
2020-03-01,15597.572016866,9744.2293154691,8942.424519778,801.80479569116,703.29898546835,98.505810222807,5853.3427013971
2020-04-01,15624.834029417,9050.657950137,8235.9307920195,814.72715811761,734.8042966736,79.922861444009,6574.1760792801
2020-05-01,15652.082001223,8390.8832100052,7450.5225645242,940.36064548103,878.81287207377,61.547773407259,7261.1987912185
2020-06-01,15679.416002601,8136.6987170241,7142.5682851834,994.13043184076,936.38865510618,57.741776734581,7542.717285577
2020-07-01,15706.605000002,8138.6394235759,7073.1925249337,1065.4468986422,994.16822285577,71.278675786437,7567.9655764266
2020-08-01,15729.107153739,8257.2097672124,7191.4135982541,1065.7961689582,993.50538521294,72.290783745314,7471.897386527
2020-09-01,15746.866000039,8402.6373375368,7365.0552540326,1037.5820835042,965.6913329208,71.890750583439,7344.2286625023
2020-10-01,15764.525000052,8671.5704730726,7667.6593982938,1003.9110747788,939.21581120079,64.695263578059,7092.9545269797
2020-11-01,15782.138000001,8871.0760173646,7916.7236210867,954.35239627789,879.22203923503,75.130357042858,6911.0619826371
2020-12-01,15799.928000012,8946.4800561464,8026.2166007514,920.26345539487,837.05973204304,83.203723351836,6853.4479438661
2021-01-01,15817.719002955,9046.633788595,8121.4199958374,925.21379275757,836.77391777893,88.439874978641,6771.0852143606
2021-02-01,15835.398,9105.9476253577,8167.623309441,938.32431591672,843.78091345731,94.543402459413,6729.4503746423
2021-03-01,15853.046004307,9089.2937424389,8148.205568526,941.0881739129,852.55421007896,88.533963833933,6763.7522618689
2021-04-01,15870.679000032,9029.1032951418,8104.1288069841,924.9744881577,837.22092740709,87.753560750609,6841.5757048909
2021-05-01,15888.393999999,8938.2717516501,8041.1104714103,897.16128023979,821.58659178144,75.574688458354,6950.1222483499
2021-06-01,15906.101999999,8884.9496070841,8041.1914145572,843.75819252701,776.89079829875,66.86739422826,7021.1523929158
2021-07-01,15923.835,8948.327795689,8148.9477948891,799.38000079986,736.77622874578,62.603772054077,6975.5072043108
2021-08-01,15939.249,9030.6784476998,8258.7752434176,771.90320428227,709.39317894844,62.510025333832,6908.5705523001
2021-09-01,15952.365008709,9111.081847642,8345.2397354882,765.8421121538,703.77979504443,62.062317109362,6841.2831610669
2021-10-01,15965.393013944,9199.5197090152,8456.5112535566,743.00845545859,675.33027864208,67.678176816515,6765.8733049292
2021-11-01,15978.363002843,9255.0498190351,8558.3621487674,696.68767026774,630.36643068992,66.321239577819,6723.3131838086
2021-12-01,15991.432001529,9350.58381904,8678.2868056954,672.29701334467,604.33253692988,67.964476414784,6640.8481824897
2022-01-01,16004.483009143,9396.1261994664,8712.8901884523,683.23601101408,611.24751645436,71.98849455972,6608.3568096775
2022-02-01,16017.428,9479.4643819231,8768.6446671999,710.81971472316,632.03933759162,78.78037713154,6537.9636180768
2022-03-01,16030.541001579,9541.6023505117,8797.561064269,744.04128624268,655.65051240881,88.390773833862,6488.938651068
2022-04-01,16043.616002089,9577.4932698408,8835.4776322722,742.01563756857,660.65024152274,81.365396045829,6466.1227322484
2022-05-01,16056.612021447,9604.6183418149,8855.0758705985,749.54247121638,673.55602015558,75.986451060798,6451.9936796326
2022-06-01,16069.655,9587.345015051,8838.4320758244,748.91293922657,680.55379261944,68.359146607133,6482.3099849495
2022-07-01,16082.69,9610.9004185618,8849.8313266449,761.06909191685,693.78804029773,67.281051619118,6471.7895814385
2022-08-01,16095.411,9615.7656887998,8853.2931868608,762.47250193898,696.58849372767,65.884008211314,6479.6453112001
2022-09-01,16107.712,9616.7317913326,8843.5442081889,773.18758314372,708.37165023831,64.815932905405,6490.9802086682
2022-10-01,16120.185000013,9637.2562701293,8869.3230112416,767.93325888762,703.15809018824,64.775168699377,6482.928729884
2022-11-01,16132.437000011,9650.164980646,8883.090434042,767.07454660394,701.29353887402,65.78100772992,6482.2720193658
2022-12-01,16144.885000043,9730.299380729,8965.2303799361,765.06900079287,689.15667728931,75.912323503559,6414.5856193139
